rating,reference_mean,roster_mean,mean_difference,reference_std,roster_std,std_difference,quantile_mae
insideScoring,66.809,64.502,-2.307,17.581,17.907,0.326,1.75
threePointShooting,66.824,66.596,-0.228,17.575,17.763,0.188,0.986
freeThrowShooting,66.814,67.991,1.177,17.58,18.15,0.57,1.18
scoringVolume,66.811,67.913,1.102,17.581,17.729,0.148,0.75
playmaking,66.814,69.467,2.653,17.582,17.874,0.292,2.086
ballSecurity,66.814,66.373,-0.441,17.577,17.871,0.294,0.607
offensiveRebounding,66.795,63.807,-2.988,17.593,17.985,0.392,2.536
defensiveRebounding,66.774,64.696,-2.078,17.572,17.813,0.241,1.729
perimeterDefense,66.811,66.951,0.14,17.581,18.301,0.72,1.264
interiorDefense,66.811,65.111,-1.7,17.581,18.493,0.912,1.679
stamina,66.811,68.871,2.06,17.585,17.847,0.262,1.95
durability,66.859,67.782,0.923,17.629,17.095,-0.534,1.15
overall,67.912,68.269,0.357,10.332,10.216,-0.116,0.471
